gene 	 shG9a_E2-
UBE2H 	 12353
PIEZO1 	 11782
GFRA1 	 6881
FREM2 	 5276
SYNCRIP 	 5285
FAF2 	 10029
CBX5 	 5357
HNRNPA1 	 1863
GNAI3 	 11848
UGCG 	 4741
CA12 	 2324
EIF4G2 	 10359
H1FX 	 6124
IER2 	 11322
ECHS1 	 7759
FAM83H 	 8122
MTDH 	 8720
HIST1H2BK 	 11646
TMEM45A 	 3126
TMED2 	 8199
RPL15P3 	 416
IMPAD1 	 7572
RPL31 	 8200
ANKRD52 	 7900
SPIN1 	 7591
ZMIZ1 	 5972
TTC34 	 12
PSMC5 	 7793
PAPOLA 	 9368
PPP2CA 	 8864
UGDH-AS1 	 3561
SLC1A5 	 15018
MLL2 	 10175
RPSA 	 1711
PPDPF 	 6799
MPZL2 	 34383
EPT1 	 6639
TOB2 	 5650
RCC2 	 4849
SP1 	 6402
AZIN1 	 8804
FAM32A 	 9447
KPNB1 	 8737
HSPA1B 	 221
SFXN1 	 9206
FADS1 	 5647
SEL1L 	 10424
C19orf43 	 7104
SQLE 	 6877
RAB10 	 9553
GRHL2 	 7988
GLTSCR2 	 7377
XIST 	 3061
SRSF1 	 5337
MAPKAPK2 	 10323
MB21D2 	 7731
AGRN 	 16854
EMP2 	 7718
RPL18A 	 5113
DDX5 	 6312
PSMD8 	 8268
SMAD3 	 9949
DNAJB1 	 11021
CHMP1B 	 11616
CCDC47 	 6451
PABPC1 	 9699
WASL 	 10845
SPTSSA 	 7167
TOMM70A 	 7431
SF3B4 	 6328
TSPAN13 	 6458
LRRC58 	 6806
IL13RA1 	 28277
RPS16 	 5842
PCYT1A 	 8951
UBE2J1 	 10430
STK38 	 11577
ZKSCAN1 	 7678
EIF2S3 	 7202
CCNI 	 6626
IDI1 	 6445
TOM1L2 	 7921
NEAT1 	 8776
RPS9 	 6249
FAU 	 6595
EIF1AX 	 5345
DAP 	 8605
EFNB2 	 5080
SHISA9 	 1730
SGPL1 	 8442
RAB1B 	 6629
GDF15 	 27134
ST13 	 6808
ZNF609 	 8175
KIF1C 	 8279
WASF2 	 7899
HLA-E 	 0
SYAP1 	 7664
RNF139 	 7259
PDIA4 	 7450
IRF2BPL 	 9750
MRPL41 	 7805
ZNF24 	 6126
RPL9 	 3616
SLC25A5 	 6429
AP1M2 	 6693
TNKS2 	 9238
RNF44 	 6694
FGD5-AS1 	 5718
RPL3 	 4209
C1orf233 	 2672
SRRM2 	 5720
BTG1 	 8793
SIKE1 	 7103
FEM1B 	 9054
KPNA4 	 7882
HIST1H1C 	 7752
NUDT21 	 4816
RPL23 	 6222
IGFBP4 	 2215
NAPA 	 7323
RPL22 	 6002
RGS16 	 6364
PPP3R1 	 7010
CHD6 	 10380
FAM210B 	 6894
RAVER1 	 5110
TAOK1 	 8614
ADRM1 	 7438
SF3B1 	 7512
REEP5 	 4846
ELK4 	 6681
CELF1 	 5595
SERINC3 	 9358
RPL18 	 6097
TERF2IP 	 9196
EIF4A1 	 5577
DDX6 	 5623
SPTLC2 	 6854
EP300 	 7499
RPL6P27 	 3556
BRI3BP 	 4504
TMED7 	 5897
SSR3 	 5545
F8A1 	 3858
TMOD3 	 8380
MED29 	 6451
SAMD4B 	 6054
PTEN 	 6102
NACA 	 6235
NAA50 	 5459
ADCY9 	 5443
RAB8A 	 5601
PSMD6 	 11086
TIMP2 	 27668
HMGB3 	 4760
ERRFI1 	 28947
EAF1 	 6655
MIDN 	 7468
STT3B 	 7531
GSK3B 	 7268
none 	 668
PPP6R1 	 6958
DVL3 	 7184
SF3B5 	 5800
BMI1 	 6387
SYT12 	 4196
FOXA1 	 6611
LAMC1 	 10973
PNN 	 5005
RP11-186B7.4 	 5248
NUP210 	 3612
VASP 	 12937
ACTR2 	 7890
CRKL 	 5166
ASNA1 	 5793
CHCHD2 	 5241
HSPA4 	 6343
FAM20B 	 5242
SFN 	 8612
PVRL2 	 9608
SEC22B 	 7532
AC092669.3 	 6400
NPNT 	 3064
LSM4 	 5638
ABCC9 	 782
CTA-204B4.6 	 7298
RNF11 	 7698
B4GALT5 	 6389
DSP 	 8108
HS6ST1 	 8989
FBL 	 4000
LARP4B 	 6073
DKK1 	 3188
IGF2R 	 8121
